Question Number,Question,Answer,Category,Difficulty
1,What is a variable in programming?,A variable is a named storage location in memory that holds a value which can be changed during program execution.,General Programming,Easy
2,What is a function in programming?,"A function is a reusable block of code that performs a specific task, accepts inputs, and returns an output.",General Programming,Easy
3,What is an if-else statement?,An if-else statement is a control structure that executes different code blocks based on whether a condition is true or false.,General Programming,Easy
4,What is a loop in programming?,"A loop repeatedly executes a block of code as long as a condition is true, such as for, while, and do-while loops.",General Programming,Easy
5,What is a comment in code?,A comment is a non-executable line in code used to explain or annotate the code for human readers.,General Programming,Easy
6,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,General Programming,Medium
7,What is the concept of polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",General Programming,Medium
8,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,General Programming,Medium
9,What are the principles of Object-Oriented Programming (OOP)?,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",General Programming,Medium
10,What is the difference between stack and heap memory?,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",General Programming,Medium
11,What does encapsulation mean and can you give an example?,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",General Programming,Hard
12,What is the SOLID principle?,"SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",General Programming,Hard
13,"What is a design pattern, and can you name a few?","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC.",General Programming,Hard
14,What is the difference between deep copy and shallow copy?,"A shallow copy copies object references; a deep copy creates a fully independent clone, recursively copying all nested objects.",General Programming,Hard
15,What is the difference between synchronous and asynchronous programming?,"Synchronous code executes sequentially blocking further execution; asynchronous code allows other operations to run while waiting, using callbacks, promises, or async/await.",General Programming,Hard
16,What is the difference between an array and a linked list?,"An array has fixed size and stores elements in contiguous memory; a linked list consists of nodes with data and references, allowing dynamic size.",Data Structures,Easy
17,What is a stack data structure?,A stack is a linear data structure that follows Last In First Out order where elements are added and removed from the same end called the top.,Data Structures,Easy
18,What is a queue data structure?,A queue is a linear data structure that follows First In First Out order where elements are added at the rear and removed from the front.,Data Structures,Easy
19,What is a tree in data structures?,"A tree is a hierarchical data structure with a root node and child nodes, where each node has at most one parent.",Data Structures,Easy
20,What is a graph in data structures?,"A graph is a non-linear data structure consisting of vertices (nodes) and edges (connections between nodes), used to represent networks.",Data Structures,Easy
21,What is the difference between a binary search tree and a hash table?,"A binary search tree is hierarchical, maintaining order; a hash table maps keys to values for fast retrieval, without maintaining order.",Data Structures,Medium
22,What is the concept of recursion?,"Recursion is when a function calls itself to solve subproblems, with a base case to terminate recursion.",Data Structures,Medium
23,"What is Big O notation, and why is it important?","Big O notation describes the upper bound of algorithm time complexity, important for comparing efficiency and growth rates.",Data Structures,Medium
24,What are the advantages and disadvantages of different sorting algorithms?,Sorting algorithms vary in time/space complexity and stability. Quick Sort and Merge Sort are fast but more complex; Insertion and Bubble Sort are simple but slower.,Data Structures,Medium
25,How does a hash table work?,"A hash table uses a hash function to map keys to values in an array, allowing fast O(1) access.",Data Structures,Medium
26,How do you explain the time complexity of an algorithm?,"Time complexity measures the time an algorithm takes relative to its input size, expressed in Big O notation.",Data Structures,Hard
27,How do you perform a binary search on a sorted array?,"Binary search divides the search interval in half, repeatedly comparing the middle element to the target.",Data Structures,Hard
28,What is dynamic programming?,"Dynamic programming solves complex problems by dividing them into smaller subproblems, avoiding redundant calculations.",Data Structures,Hard
29,How would you design and implement a concurrent hash map?,Implement with fine-grained locking or lock-free techniques to ensure thread safety and high concurrency.,Data Structures,Hard
30,What is the difference between DFS and BFS graph traversal?,"DFS explores as far as possible along each branch before backtracking using a stack; BFS explores all neighbors at the current depth first using a queue.",Data Structures,Hard
31,What is a variable type in programming?,A variable type defines what kind of data a variable can hold such as integer for whole numbers and string for text.,Languages and Frameworks,Easy
32,What is an interpreted language?,An interpreted language executes code line by line at runtime without a prior compilation step. Examples include Python and JavaScript.,Languages and Frameworks,Easy
33,What is a compiled language?,A compiled language converts source code into machine code before execution. Examples include C and Java.,Languages and Frameworks,Easy
34,What is an IDE?,An IDE (Integrated Development Environment) is a software application that provides tools like a code editor and debugger to help developers write code.,Languages and Frameworks,Easy
35,What is the purpose of a library in programming?,A library is a collection of pre-written code that developers can import and reuse to perform common tasks without writing them from scratch.,Languages and Frameworks,Easy
36,What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.",Languages and Frameworks,Medium
37,What is the MVC architectural pattern?,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns.",Languages and Frameworks,Medium
38,What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.",Languages and Frameworks,Medium
39,What is a closure in programming?,A closure is a function with access to its outer scope variables even after the outer function has executed.,Languages and Frameworks,Medium
40,What is the concept of multi-threading in Java?,"Multi-threading in Java allows concurrent execution of multiple threads, improving application responsiveness and performance.",Languages and Frameworks,Medium
41,What is the role of a package manager like npm or pip?,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.",Languages and Frameworks,Hard
42,What is a virtual function in C++?,"Virtual functions in C++ allow derived classes to override them, enabling runtime polymorphism and dynamic method dispatch.",Languages and Frameworks,Hard
43,What is the difference between pass-by-value and pass-by-reference?,"Pass-by-value copies the value into the function parameter; pass-by-reference passes the memory address, so changes affect the original variable.",Languages and Frameworks,Hard
44,What is memory management and how does garbage collection work?,"Memory management allocates and frees memory during execution; garbage collection automatically reclaims memory no longer referenced by the program.",Languages and Frameworks,Hard
45,What is the difference between concurrency and parallelism?,"Concurrency manages multiple tasks by interleaving execution on one core; parallelism executes multiple tasks simultaneously on multiple cores.",Languages and Frameworks,Hard
46,"What is a database index, and why is it important?","A database index speeds up data retrieval, similar to a book's index, improving query performance.",Database and SQL,Easy
47,What is a primary key in a database?,A primary key is a unique identifier for each record in a database table that ensures no two rows have the same value.,Database and SQL,Easy
48,What is a SELECT statement in SQL?,A SELECT statement retrieves data from one or more database tables based on specified conditions.,Database and SQL,Easy
49,What is the difference between DELETE and TRUNCATE in SQL?,"DELETE removes specific rows based on a condition and can be rolled back; TRUNCATE removes all rows from a table and cannot be rolled back.",Database and SQL,Easy
50,What is a JOIN in SQL?,A JOIN combines rows from two or more tables based on a related column between them.,Database and SQL,Easy
51,What are the differences between SQL and NoSQL databases?,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.,Database and SQL,Medium
52,What is a foreign key in a database?,"A foreign key links two tables by referring to the primary key in another table, ensuring referential integrity.",Database and SQL,Medium
53,What is the difference between INNER JOIN and LEFT JOIN in SQL?,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,Database and SQL,Medium
54,"What is a stored procedure, and when would you use one?","Stored procedures are precompiled SQL statements for data manipulation and logic, used for repetitive tasks and improving performance.",Database and SQL,Medium
55,"What is database denormalization, and when is it appropriate?","Denormalization introduces redundancy for performance, useful in read-heavy scenarios at the expense of storage and complexity.",Database and SQL,Medium
56,What are the ACID properties in database transactions?,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).",Database and SQL,Hard
57,What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.",Database and SQL,Hard
58,What are the advantages and disadvantages of using an ORM tool?,ORM simplifies database interactions and is language-agnostic. It can introduce performance overhead and may limit database features.,Database and SQL,Hard
59,What is a deadlock in databases and how do you prevent it?,"A deadlock occurs when two transactions block each other waiting for locks; prevent it using lock ordering, timeouts, and deadlock detection algorithms.",Database and SQL,Hard
60,What is the difference between optimistic and pessimistic locking?,"Optimistic locking assumes conflicts are rare and checks at commit time; pessimistic locking locks data immediately to prevent conflicts during transactions.",Database and SQL,Hard
61,What is HTML?,HTML (HyperText Markup Language) is the standard language used to create and structure content on the web using elements and tags.,Web Development,Easy
62,What is CSS?,CSS (Cascading Style Sheets) is a stylesheet language used to describe the presentation and layout of HTML documents.,Web Development,Easy
63,What is a URL?,A URL (Uniform Resource Locator) is a web address that specifies the location of a resource on the internet.,Web Development,Easy
64,What is the difference between a client and a server?,"A client requests resources or services, while a server provides those resources or services over a network.",Web Development,Easy
65,What is an API?,An API (Application Programming Interface) is a set of rules that allows different software applications to communicate with each other.,Web Development,Easy
66,What is the difference between HTTP and HTTPS?,"HTTP is an unsecured data transmission protocol; HTTPS is secure, encrypting data in transit using SSL/TLS.",Web Development,Medium
67,What is CORS (Cross-Origin Resource Sharing)?,"CORS is a security measure allowing or restricting resources requested from another domain, managed via HTTP headers.",Web Development,Medium
68,What is a session in web development?,"A session maintains stateful information across multiple HTTP requests, typically for user authentication and data storage.",Web Development,Medium
69,What is the concept of responsive web design?,"Responsive design ensures web content functions across different devices and screen sizes, using CSS media queries and flexible layouts.",Web Development,Medium
70,What are the differences between GET and POST requests?,"GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.",Web Development,Medium
71,What is the Document Object Model (DOM)?,"The DOM is a tree-like representation of a web page's structure, allowing manipulation of content, structure, and style via programming languages.",Web Development,Hard
72,"What is a cookie, and how does it work?","Cookies are data stored on the user's computer by the web server, sent with HTTP requests for session management, tracking, and storing preferences.",Web Development,Hard
73,What is the concept of web caching and how does it improve performance?,"Web caching stores copies of resources closer to users, reducing server load and improving load times by serving cached responses for repeated requests.",Web Development,Hard
74,What is the difference between authentication and authorization?,"Authentication verifies who a user is; authorization determines what an authenticated user is allowed to access or do.",Web Development,Hard
75,What is a Content Security Policy (CSP)?,"CSP is a security header that restricts which resources a browser can load, reducing the risk of XSS attacks by whitelisting trusted content sources.",Web Development,Hard
76,What is version control?,Version control is a system that tracks changes to files over time so you can recall specific versions and collaborate with others.,Version Control,Easy
77,What is a commit in Git?,A commit is a snapshot of changes saved to the Git repository with a message describing what was changed.,Version Control,Easy
78,What is a repository in Git?,A repository is a directory tracked by Git that stores all project files and the complete history of all changes made to them.,Version Control,Easy
79,What is the difference between git pull and git fetch?,"git fetch downloads changes from the remote without merging; git pull downloads and automatically merges changes into the current branch.",Version Control,Easy
80,What is a branch in Git?,A branch is an independent line of development in Git that allows you to work on features or fixes without affecting the main codebase.,Version Control,Easy
81,"What is Git, and how does it work?","Git is a distributed version control system for tracking changes in source code, allowing collaborative work and branch management.",Version Control,Medium
82,"What is a merge conflict, and how do you resolve it in Git?",Merge conflicts occur when changes in different branches clash. Resolve by manually editing files and committing the result.,Version Control,Medium
83,"What is a pull request (PR), and how does it work?","A PR is a request to merge code from one branch to another, facilitating code review and discussion before integration.",Version Control,Medium
84,"What is code refactoring, and why is it important?","Refactoring improves code structure and readability without altering functionality, enhancing maintainability and quality.",Version Control,Medium
85,What is the role of Git branching strategies like GitFlow?,"GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development.",Version Control,Medium
86,What is the difference between Git and SVN (Subversion)?,"Git is distributed, with local repository copies; SVN is centralized, requiring network connectivity for repository access.",Version Control,Hard
87,"What is Git rebase, and when would you use it?",Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.,Version Control,Hard
88,What is the difference between git reset and git revert?,"git reset moves the HEAD pointer and can discard commits; git revert creates a new commit that undoes changes, preserving history.",Version Control,Hard
89,What is cherry-picking in Git?,Cherry-picking applies a specific commit from one branch onto another branch without merging the entire branch.,Version Control,Hard
90,What are git hooks and how are they used?,Git hooks are scripts that run automatically at specific points in the Git workflow such as before a commit or push to enforce policies.,Version Control,Hard
91,What is a microservice?,A microservice is a small independently deployable service that handles a specific business function and communicates with other services via APIs.,System Design,Easy
92,What is scalability in system design?,Scalability is the ability of a system to handle increased load by adding resources without degrading performance.,System Design,Easy
93,What is high availability?,High availability refers to a system's ability to remain operational and accessible for a high percentage of time with minimal downtime.,System Design,Easy
94,What is a database in system design?,A database is an organized collection of structured data that a system uses to store retrieve and manage information persistently.,System Design,Easy
95,What is latency in system design?,Latency is the time delay between a request being made and the response being received in a system.,System Design,Easy
96,What is the concept of microservices architecture?,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.",System Design,Medium
97,"What is a load balancer, and why is it used in web applications?","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability.",System Design,Medium
98,What is the importance of caching in web applications?,"Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience.",System Design,Medium
