id,question,difficulty,category,date
1,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2024-11-14
2,What is the bias-variance tradeoff?,Hard,Machine Learning,2025-05-01
3,What are the key differences between classification and regression?,Medium,Machine Learning,2025-07-17
4,How would you optimize a machine learning model?,Hard,Machine Learning,2024-11-08
5,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-01-04
6,Describe the process of feature selection.,Medium,Machine Learning,2025-02-18
7,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2025-07-07
8,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-06-26
9,What are the advantages of ensemble methods?,Easy,Machine Learning,2025-02-05
10,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-03-10
11,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-04-19
12,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-03-17
13,What is regularization and why is it important?,Medium,Machine Learning,2024-09-28
14,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-12-02
15,What is the difference between supervised and unsupervised learning?,Hard,Machine Learning,2024-11-21
16,How do you select the right machine learning algorithm for a problem?,Hard,Machine Learning,2024-08-30
17,What is a confusion matrix and how do you interpret it?,Easy,Machine Learning,2025-01-18
18,What is the ROC curve and what does AUC represent?,Medium,Machine Learning,2024-08-08
19,How would you handle class imbalance in a dataset?,Easy,Machine Learning,2025-05-26
20,What is the difference between precision and recall?,Easy,Machine Learning,2025-05-08
21,What is k-nearest neighbors (KNN) and when would you use it?,Hard,Machine Learning,2024-11-23
22,How does a decision tree algorithm work?,Easy,Machine Learning,2025-05-26
23,What is random forest and how does it differ from a single decision tree?,Easy,Machine Learning,2024-11-18
24,What is support vector machine (SVM) and how does it work?,Medium,Machine Learning,2024-08-01
25,What is the difference between a generative and discriminative model?,Hard,Machine Learning,2024-09-03
26,How would you detect and handle outliers in a dataset?,Hard,Machine Learning,2025-07-26
27,What is transfer learning and when would you apply it?,Easy,Machine Learning,2025-06-17
28,What is the curse of dimensionality?,Medium,Machine Learning,2024-08-28
29,How do you evaluate a clustering algorithm?,Easy,Machine Learning,2024-11-23
30,What is k-means clustering and what are its limitations?,Hard,Machine Learning,2024-09-01
31,How does logistic regression work and when would you use it?,Easy,Machine Learning,2024-08-14
32,What is the difference between parametric and non-parametric models?,Medium,Machine Learning,2025-01-14
33,What is hyperparameter tuning and what methods would you use?,Easy,Machine Learning,2024-09-03
34,How would you deploy a machine learning model to production?,Easy,Machine Learning,2025-04-18
35,What is model drift and how would you monitor for it?,Hard,Machine Learning,2024-11-27
36,What is the difference between online and batch learning?,Medium,Machine Learning,2024-12-18
37,What is a cost function and why is it important?,Easy,Machine Learning,2025-07-06
38,How does the Naive Bayes classifier work?,Hard,Machine Learning,2025-04-03
39,What is the difference between hard and soft margin SVM?,Easy,Machine Learning,2024-11-15
40,What is stochastic gradient descent and how does it differ from batch gradient descent?,Hard,Machine Learning,2025-05-01
41,How do you interpret feature importance in a machine learning model?,Hard,Machine Learning,2024-10-04
42,What is the difference between boosting and bagging ensemble methods?,Easy,Machine Learning,2025-05-17
43,What is XGBoost and why is it popular in competitions?,Easy,Machine Learning,2025-05-20
44,How would you approach a multi-class classification problem?,Hard,Machine Learning,2025-03-28
45,What is the elbow method in clustering?,Hard,Machine Learning,2024-11-30
46,How do you measure the performance of an unsupervised learning model?,Easy,Machine Learning,2025-03-28
47,What is the difference between model accuracy and model robustness?,Medium,Machine Learning,2025-02-22
48,What is a learning curve and what does it tell you?,Medium,Machine Learning,2024-11-03
49,How would you reduce training time for a large machine learning model?,Medium,Machine Learning,2024-09-15
50,What is the difference between early stopping and regularization?,Medium,Machine Learning,2024-09-16
51,What is dimensionality reduction and why is it useful?,Medium,Machine Learning,2025-07-01
52,How does AdaBoost work?,Medium,Machine Learning,2025-03-06
